iter	Passed	Remaining
0	40	7966
1	76	7580
2	139	9146
3	175	8601
4	213	8313
5	260	8425
6	297	8193
7	335	8057
8	368	7829
9	404	7680
10	469	8059
11	518	8128
12	577	8304
13	617	8197
14	656	8096
15	694	7982
16	747	8044
17	783	7918
18	825	7863
19	868	7817
20	914	7791
21	951	7696
22	995	7661
23	1029	7549
24	1082	7578
25	1130	7564
26	1170	7502
27	1228	7547
28	1302	7680
29	1486	8424
30	1555	8479
31	1588	8340
32	1621	8205
33	1655	8080
34	1691	7976
35	1734	7901
36	1794	7904
37	1844	7865
38	1890	7803
39	1940	7761
40	1999	7755
41	2039	7673
42	2096	7654
43	2152	7630
44	2190	7546
45	2232	7473
46	2276	7411
47	2333	7388
48	2377	7327
49	2423	7269
50	2468	7211
51	2507	7137
52	2552	7079
53	2590	7003
54	2650	6988
55	2711	6972
56	2776	6966
57	2828	6923
58	2873	6866
59	2923	6820
60	2978	6787
61	3030	6745
62	3071	6678
63	3109	6607
64	3145	6532
65	3184	6466
66	3223	6397
67	3265	6339
68	3313	6291
69	3347	6216
70	3391	6162
71	3436	6109
72	3485	6063
73	3527	6006
74	3564	5940
75	3607	5885
76	3659	5845
77	3701	5788
78	3738	5725
79	3775	5662
80	3812	5601
81	3850	5540
82	3888	5481
83	3922	5416
84	3974	5377
85	4014	5322
86	4052	5264
87	4093	5210
88	4142	5166
89	4199	5133
90	4244	5084
91	4298	5046
92	4342	4996
93	4398	4959
94	4438	4906
95	4476	4849
96	4513	4792
97	4551	4737
98	4595	4688
99	4631	4631
100	4664	4572
101	4701	4517
102	4734	4458
103	4771	4404
104	4802	4344
105	4840	4292
106	4875	4237
107	4920	4191
108	4959	4140
109	5010	4099
110	5055	4053
111	5097	4004
112	5141	3958
113	5180	3907
114	5221	3859
115	5254	3805
116	5286	3750
117	5320	3697
118	5350	3642
119	5383	3588
120	5419	3538
121	5457	3489
122	5496	3440
123	5536	3393
124	5569	3341
125	5598	3288
126	5630	3236
127	5661	3184
128	5695	3134
129	5743	3092
130	5787	3048
131	5832	3004
132	5873	2958
133	5917	2914
134	5961	2870
135	5999	2823
136	6071	2792
137	6107	2743
138	6149	2698
139	6184	2650
140	6228	2606
141	6271	2561
142	6302	2512
143	6332	2462
144	6366	2414
145	6395	2365
146	6428	2317
147	6459	2269
148	6497	2224
149	6536	2178
150	6574	2133
151	6615	2088
152	6654	2044
153	6693	1999
154	6726	1952
155	6764	1907
156	6801	1862
157	6847	1820
158	6891	1776
159	6927	1731
160	6963	1686
161	7000	1642
162	7035	1597
163	7095	1557
164	7134	1513
165	7174	1469
166	7225	1427
167	7273	1385
168	7398	1357
169	7478	1319
170	7555	1281
171	7635	1242
172	7684	1199
173	7735	1155
174	7771	1110
175	7823	1066
176	7899	1026
177	7954	983
178	8058	945
179	8172	908
180	8241	865
181	8291	820
182	8338	774
183	8403	730
184	8494	688
185	8535	642
186	8577	596
187	8615	549
188	8649	503
189	8712	458
190	8769	413
191	8835	368
192	8888	322
193	8928	276
194	8975	230
195	9027	184
196	9085	138
197	9133	92
198	9169	46
199	9210	0
